Student,ID,SIS User ID,SIS Login ID,Section,Written Assignment 0 (158438),Written Assignment 1 (158439),Written Assignment 2 (158444),Written Assignment 4 (158445),Written Assignment 5 (158446),Written Assignment 6 (158447),Written Assignment 8 (158448),Written Assignment 9 (158449),Written Assignment 10 (158440),Written Assignment 12 (158441),Written Assignment 13 (158442),Written Assignment 14 (158443),Webwork 1 (158424),Webwork 2 (158430),Webwork 3 (158431),Webwork 4 (158432),Webwork 5 (158433),Webwork 6 (158434),Webwork 7 (158435),Webwork 8 (158436),Webwork 9 (158437),Webwork 10 (158425),Webwork 11 (158426),Webwork 12 (158427),Webwork 13 (158428),Webwork 14 (158429),Quiz 1 (158413),Quiz 2 (158416),Quiz 3 (158417),Quiz 4 (158418),Quiz 5 (158419),Quiz 6 (158420),Quiz 7 (158421),Quiz 8 (158422),Quiz 9 (158423),Quiz 10 (158414),Exit Slip 0 (158397),Exit Slip 1 (158398),Exit Slip 2 (158450),Exit Slip 3 (158404),Exit Slip 4 (158405),Exit Slip 5 (158406),Exit Slip 6 (158407),Exit Slip 7 (158408),Exit Slip 8 (158409),Exit Slip 9 (158410),Exit Slip 10 (158399),Exit Slip 11 (158400),Exit Slip12 (158411),Exit Slip 13 (158401),Exit Slip 14 (158402),Exit Slip 15 (158451),Exit Slip 16 (158459),Exit Slip 17 (158452),Exit Slip 18 (158458),Exit Slip 19 (158457),Exit Slip 20 (158456),Exit Slip 21 (158455),Exit Slip 23 (158454),Exit Slip 24 (158453),Exit Slip 25 (158460),Exit Slip 26 (158462),Exit Slip 27 (158461),Exit Slip 29 (158463),Exam 1 (158391),Exam 2 (158393),Exam 3 (158395),Final Exam (158412),Written Assingments Current Score,Written Assingments Unposted Current Score,Written Assingments Final Score,Written Assingments Unposted Final Score,Webwork Current Score,Webwork Unposted Current Score,Webwork Final Score,Webwork Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exit Slips Current Score,Exit Slips Unposted Current Score,Exit Slips Final Score,Exit Slips Unposted Final Score,Exam 1 Current Score,Exam 1 Unposted Current Score,Exam 1 Final Score,Exam 1 Unposted Final Score,Exam 2 Current Score,Exam 2 Unposted Current Score,Exam 2 Final Score,Exam 2 Unposted Final Score,Exam 3 Current Score,Exam 3 Unposted Current Score,Exam 3 Final Score,Exam 3 Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
"Scott, Emma",1361501.0,3315901.0,escott@university.edu,MATH 130 4,5.0,23.5,0.0,23.0,22.0,24.0,15.5,0.0,0.0,0.0,0.0,0.0,19.0,12.0,26.0,21.0,5.0,12.0,16.0,13.0,0.0,12.0,12.0,0.0,13.0,0.0,0.0,6.5,10.0,0.00,5.50,0.0,0.0,7.0,0.0,8.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,3.00,0.00,3.00,0.00,0.0,3.0,0.00,3.0,0.00,3.0,3.0,3.00,3.00,0.00,0.0,3.00,0.0,27.5,38.0,57.0,92.32,40.94,40.94,40.94,40.94,83.85,83.85,83.85,83.85,50.00,50.00,50.00,50.00,60.00,60.00,60.00,60.00,45.83,45.83,45.83,45.83,66.67,66.67,66.67,66.67,83.82,83.82,83.82,83.82,76.93,76.93,76.93,76.93,63.88,63.88,63.88,63.88,D,D,D,D
"Moore, Theodore",1361523.0,3315923.0,tmoore@university.edu,MATH 130 4,5.0,23.0,0.0,0.0,12.5,0.0,0.0,8.0,0.0,0.0,28.0,0.0,19.0,11.98,0.0,15.5,5.0,10.0,15.0,12.75,16.0,0.0,11.0,12.0,11.0,0.0,9.0,6.0,5.5,8.00,7.00,0.0,10.0,8.0,10.5,8.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,3.0,EX,3.0,3.00,3.0,0.0,3.00,3.00,3.00,3.0,3.00,3.0,55.0,54.0,48.5,80.37,27.72,27.72,27.72,27.72,77.35,77.35,77.35,77.35,88.67,88.67,88.67,88.67,100.00,100.00,100.00,100.00,91.67,91.67,91.67,91.67,94.74,94.74,94.74,94.74,71.32,71.32,71.32,71.32,66.98,66.98,66.98,66.98,74.86,74.86,74.86,74.86,C,C,C,C
"Moore, Luna",1361515.0,3315915.0,lmoore@university.edu,MATH 130 4,5.0,24.0,23.0,23.0,25.0,0.0,19.5,20.0,18.0,22.0,28.0,0.0,19.0,11.43,27.0,18.0,5.0,12.0,16.0,13.0,14.0,12.0,12.0,9.0,13.0,14.71,8.0,0.0,5.5,9.00,0.00,0.0,9.5,5.0,4.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.00,3.00,0.00,3.00,0.0,3.0,3.00,3.0,3.00,3.0,3.0,3.00,3.00,0.00,0.0,0.00,0.0,60.5,53.5,59.5,81.31,75.18,75.18,75.18,75.18,94.99,94.99,94.99,94.99,53.95,53.95,53.95,53.95,68.00,68.00,68.00,68.00,100.83,100.83,100.83,100.83,93.86,93.86,93.86,93.86,87.50,87.50,87.50,87.50,67.76,67.76,67.76,67.76,81.99,81.99,81.99,81.99,B-,B-,B-,B-
"White, Noah",1361516.0,3315916.0,nwhite@university.edu,MATH 130 4,5.0,24.0,12.0,23.0,24.0,23.5,22.0,0.0,27.0,22.0,27.5,25.0,19.0,12.0,29.0,18.5,5.0,12.0,16.0,13.0,9.0,10.0,12.0,12.0,13.0,17.0,9.0,5.5,6.5,4.00,6.00,0.0,3.0,5.0,11.5,5.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,3.00,0.00,0.00,3.00,0.0,3.0,0.00,3.0,0.00,3.0,3.0,3.00,3.00,3.00,3.0,3.00,0.0,59.0,52.0,57.5,108.92,85.14,85.14,85.14,85.14,97.67,97.67,97.67,97.67,70.00,70.00,70.00,70.00,80.00,80.00,80.00,80.00,98.33,98.33,98.33,98.33,91.23,91.23,91.23,91.23,84.56,84.56,84.56,84.56,90.77,90.77,90.77,90.77,88.33,88.33,88.33,88.33,B+,B+,B+,B+
"Martin, Harper",1361525.0,3315925.0,hmartin@university.edu,MATH 130 4,0.0,0.0,10.0,0.0,22.5,12.5,0.0,13.0,16.5,22.0,0.0,25.0,19.0,12.0,28.0,0.0,5.0,10.0,16.0,13.0,16.0,12.0,0.0,12.0,0.0,17.0,7.5,6.5,4.0,4.00,EX,0.0,,0.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.00,EX,EX,EX,3.0,3.0,0.00,3.0,3.00,3.0,3.0,EX,0.00,0.00,0.0,3.00,0.0,55.5,58.0,55.5,,44.02,44.02,44.02,44.02,85.11,85.11,85.11,85.11,49.15,49.15,43.28,43.28,85.71,85.71,85.71,85.71,92.50,92.50,92.50,92.50,101.75,101.75,101.75,101.75,81.62,81.62,81.62,81.62,,,0.00,0.00,77.69,77.69,64.67,64.67,C+,C+,D,D
"King, Henry",1361513.0,3315913.0,hking@university.edu,MATH 130 4,5.0,0.0,18.0,23.0,25.0,23.5,22.0,0.0,19.5,0.0,27.0,25.0,19.0,3.29,29.0,21.0,5.0,12.0,16.0,13.0,0.0,12.0,12.0,0.0,9.75,17.0,9.0,9.0,0.0,0.00,7.00,0.0,9.5,8.0,12.0,9.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,3.00,3.00,3.00,3.00,0.0,3.0,0.00,3.0,0.00,0.0,3.0,3.00,3.00,3.00,3.0,3.00,3.0,52.0,49.0,25.0,76.6,68.12,68.12,68.12,68.12,87.59,87.59,87.59,87.59,84.67,84.67,84.67,84.67,84.00,84.00,84.00,84.00,86.67,86.67,86.67,86.67,85.96,85.96,85.96,85.96,36.76,36.76,36.76,36.76,63.83,63.83,63.83,63.83,72.58,72.58,72.58,72.58,C-,C-,C-,C-
"Jackson, Noah",1361507.0,3315907.0,njackson@university.edu,MATH 130 4,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.0,0.0,0.0,0.0,0.0,10.14,10.14,10.14,10.14,10.56,10.56,10.56,10.56,0.00,0.00,0.00,0.00,8.00,8.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.88,2.88,2.88,2.88,F,F,F,F
"Jackson, Luna",1361527.0,3315927.0,ljackson@university.edu,MATH 130 4,5.0,21.5,19.0,21.0,24.0,26.5,22.0,21.0,27.0,0.0,0.0,0.0,19.0,11.98,24.6,20.0,4.33,10.0,14.0,12.25,14.0,12.0,12.0,12.0,0.0,14.43,7.0,7.0,2.0,4.50,4.00,6.0,7.5,5.0,2.5,0.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.00,3.00,3.00,3.00,0.0,0.0,0.00,3.0,3.00,3.0,3.0,3.00,0.00,0.00,0.0,0.00,0.0,31.5,18.0,35.5,30.5,67.75,67.75,67.75,67.75,92.14,92.14,92.14,92.14,57.33,57.33,57.33,57.33,72.00,72.00,72.00,72.00,52.50,52.50,52.50,52.50,31.58,31.58,31.58,31.58,52.21,52.21,52.21,52.21,25.42,25.42,25.42,25.42,52.54,52.54,52.54,52.54,F,F,F,F
"Harris, Evelyn",1361517.0,3315917.0,eharris@university.edu,MATH 130 4,3.75,24.0,22.0,22.0,19.0,26.5,22.5,22.0,26.0,22.0,27.5,25.0,19.0,12.0,29.0,20.0,5.0,12.0,16.0,13.0,14.0,9.0,12.0,12.0,13.0,17.0,9.0,8.0,9.5,0.00,7.50,9.0,9.0,8.0,10.0,10.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,3.00,3.00,0.00,3.00,0.0,3.0,0.00,3.0,EX,3.0,3.0,0.00,3.00,3.00,3.0,3.00,3.0,55.5,47.5,57.5,97.5,95.02,95.02,95.02,95.02,98.48,98.48,98.48,98.48,90.00,90.00,90.00,90.00,83.33,83.33,83.33,83.33,92.50,92.50,92.50,92.50,83.33,83.33,83.33,83.33,84.56,84.56,84.56,84.56,81.25,81.25,81.25,81.25,88.38,88.38,88.38,88.38,B+,B+,B+,B+
"Hall, William",1361506.0,3315906.0,whall2@university.edu,MATH 130 4,5.0,24.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,0.0,15.75,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.75,17.0,9.0,7.0,8.5,0.00,0.00,0.0,10.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,3.00,0.0,0.0,0.00,0.0,0.00,0.0,0.0,3.00,0.00,0.00,0.0,0.00,0.0,58.0,58.0,0.0,0.0,23.19,23.19,23.19,23.19,48.61,48.61,48.61,48.61,46.62,46.62,46.62,46.62,20.00,20.00,20.00,20.00,96.67,96.67,96.67,96.67,101.75,101.75,101.75,101.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.53,43.53,43.53,43.53,F,F,F,F
"Hall, William",1361504.0,3315904.0,whall@university.edu,MATH 130 4,5.0,23.5,10.5,23.0,24.0,14.0,22.0,0.0,21.0,0.0,0.0,0.0,14.08,11.94,29.0,20.0,5.0,7.25,16.0,13.0,16.0,12.0,12.0,12.0,13.0,15.71,8.0,5.0,0.0,0.00,0.00,5.0,2.0,8.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.00,3.00,0.00,3.00,3.0,0.0,3.00,3.0,3.00,3.0,3.0,3.00,3.00,0.00,0.0,3.00,3.0,45.0,40.0,42.0,68.5,51.81,51.81,51.81,51.81,96.31,96.31,96.31,96.31,41.89,41.89,41.89,41.89,80.00,80.00,80.00,80.00,75.00,75.00,75.00,75.00,70.18,70.18,70.18,70.18,61.76,61.76,61.76,61.76,57.08,57.08,57.08,57.08,65.25,65.25,65.25,65.25,D,D,D,D
"Hall, Mia",1361526.0,3315926.0,mhall@university.edu,MATH 130 4,5.0,24.0,23.0,22.0,18.0,26.0,0.0,19.0,27.0,22.0,26.0,25.0,19.0,12.0,29.0,21.0,5.0,12.0,16.0,0.0,16.0,12.0,12.0,12.0,13.0,17.0,8.0,8.0,5.5,8.00,8.00,8.0,11.0,7.5,0.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,3.0,3.00,3.0,3.00,3.0,3.0,3.00,3.00,3.00,3.0,3.00,3.0,61.5,55.5,63.5,109.5,85.87,85.87,85.87,85.87,100.00,100.00,100.00,100.00,87.16,87.16,87.16,87.16,100.00,100.00,100.00,100.00,102.50,102.50,102.50,102.50,97.37,97.37,97.37,97.37,93.38,93.38,93.38,93.38,91.25,91.25,91.25,91.25,94.33,94.33,94.33,94.33,A,A,A,A
"Hall, Charlotte",1361521.0,3315921.0,chall@university.edu,MATH 130 4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.0,0.0,0.0,0.0,0.0,1.81,1.81,1.81,1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.45,0.45,0.45,F,F,F,F
"Baker, Mia",1361511.0,3315911.0,mbaker@university.edu,MATH 130 4,5.0,23.0,13.5,23.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,9.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.5,9.5,7.00,4.00,0.0,5.0,4.5,4.5,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.0,51.0,42.5,35.5,64.0,29.17,29.17,29.17,29.17,20.21,20.21,20.21,20.21,68.42,68.42,68.42,68.42,32.00,32.00,32.00,32.00,85.00,85.00,85.00,85.00,74.56,74.56,74.56,74.56,52.21,52.21,52.21,52.21,53.33,53.33,53.33,53.33,54.85,54.85,54.85,54.85,F,F,F,F
