Student,ID,SIS User ID,SIS Login ID,Section,Written Assignment 0 (138172),Written Assignment 1 (138173),Written Assignment 2 (138174),Written Assignment 3 (138175),Written Assignment 5 (138180),Written Assignment 6 (138176),Written Assignment 7 (138177),Written Assignment 8 (138178),Written Assignment 10 (138179),Written Assignment 11 (138181),Written Assignment 12 (138182),Exam 3 Study Topics (151270),Written Assignment 14 (138183),Webwork 1 (138295),Webwork 2 (138304),Webwork 3 (138303),Webwork 4 (138302),Webwork 5 (138301),Webwork 6 (138300),Webwork 7 (138299),Webwork 8 (138298),Webwork 9 (138297),Webwork 10 (138296),Webwork 11 (138306),Webwork 12 (138307),Webwork 13 (138305),Webwork 14 (138308),Quiz 1 (138161),Quiz 2 (138162),Quiz 3 (138163),Quiz 4 (138164),Quiz 5 (138165),Quiz 6 (138166),Quiz 7 (138167),Quiz 8 (138168),Quiz 9 (138169),Quiz 10 (138170),Quiz 11 (138171),Exit Slip 0 (138146),Exit Slip 1 (138147),Exit Slip 2 (138148),Exit Slip 3 (138149),Exit Slip 4 (138150),Exit Slip 5 (138151),Exit Slip 6 (138152),Exit Slip 7 (138153),Exit Slip 8 (138154),Exit Slip 9 (138155),Exit Slip 10 (138156),Exit Slip 11 (138157),Exit Slip12 (138158),Exit Slip 13 (138159),Exit Slip 14 (138160),Exam 1 (138142),Exam 2 (138143),Exam 3 (152161),Final Exam (138145),Written Assingments Current Score,Written Assingments Unposted Current Score,Written Assingments Final Score,Written Assingments Unposted Final Score,Webwork Current Score,Webwork Unposted Current Score,Webwork Final Score,Webwork Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exit Slips Current Score,Exit Slips Unposted Current Score,Exit Slips Final Score,Exit Slips Unposted Final Score,Exam 1 Current Score,Exam 1 Unposted Current Score,Exam 1 Final Score,Exam 1 Unposted Final Score,Exam 2 Current Score,Exam 2 Unposted Current Score,Exam 2 Final Score,Exam 2 Unposted Final Score,Exam 3 Current Score,Exam 3 Unposted Current Score,Exam 3 Final Score,Exam 3 Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
"Oliver, Anderson",2361532.0,5315932.0,aoliver@university.edu,MATH 130 4,10.0,0.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,16.5,21.0,,25.0,14.0,0.0,7.0,19.0,0.0,0.0,10.0,12.0,0.0,0.0,13.0,13.0,0.0,8.0,8.00,10.00,9.50,8.0,8.5,10.0,5.0,4.0,4.0,6.0,4.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.0,0.0,3.00,3.00,3.00,0.00,0.0,72.0,71.5,56.5,95.5,43.20,43.20,43.20,43.20,58.18,58.18,58.18,58.18,75.00,75.00,75.00,75.00,92.31,92.31,92.31,92.31,96.00,96.00,96.00,96.00,96.62,96.62,96.62,96.62,68.90,68.90,68.90,68.90,86.04,86.04,86.04,86.04,76.96,76.96,76.96,76.96,C,C,C,C
"Oliver, Thompson",2361501.0,5315901.0,toliver@university.edu,MATH 130 4,10.0,18.0,21.0,21.0,22.0,21.0,27.0,20.5,22.0,24.0,22.0,,23.0,14.0,15.0,7.0,21.0,8.0,15.0,15.0,12.0,16.0,9.0,13.0,13.0,20.0,8.0,8.00,7.50,10.00,4.5,7.0,0.0,9.0,10.0,12.0,10.0,5.5,3.00,3.00,3.00,3.00,3.0,3.0,3.0,0.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,66.0,65.0,62.5,101.17,92.46,92.46,92.46,92.46,100.61,100.61,100.61,100.61,83.87,83.87,83.87,83.87,100.00,100.00,100.00,100.00,88.00,88.00,88.00,88.00,87.84,87.84,87.84,87.84,76.22,76.22,76.22,76.22,91.14,91.14,91.14,91.14,89.03,89.03,89.03,89.03,B+,B+,B+,B+
"Oliver, White",2361508.0,5315908.0,woliver@university.edu,MATH 130 4,10.0,19.0,21.0,23.0,0.0,0.0,0.0,0.0,14.0,19.0,21.0,,24.0,14.0,15.0,7.0,21.0,8.0,0.0,0.0,0.0,16.0,9.0,13.0,13.0,20.0,8.0,8.00,8.50,11.00,0.0,10.0,13.0,0.0,6.5,10.0,11.0,5.0,3.00,3.00,3.00,3.00,3.0,3.0,0.0,0.0,0.0,0.0,3.00,0.00,3.00,3.00,3.0,72.0,69.0,73.5,105.0,55.51,55.51,55.51,55.51,84.71,84.71,84.71,84.71,85.57,85.57,85.57,85.57,76.92,76.92,76.92,76.92,96.00,96.00,96.00,96.00,93.24,93.24,93.24,93.24,89.63,89.63,89.63,89.63,94.59,94.59,94.59,94.59,85.90,85.90,85.90,85.90,B,B,B,B
"Sophia, Lee",2361528.0,5315928.0,lsophia@university.edu,MATH 130 4,10.0,18.5,22.0,16.0,0.0,14.0,15.5,13.0,19.0,23.0,17.0,,25.0,13.8,10.34,6.29,3.07,3.75,7.5,7.38,8.0,14.0,9.0,13.0,10.0,20.0,8.0,8.00,2.50,9.50,3.5,6.0,9.5,7.0,5.5,10.0,3.5,8.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.0,0.0,3.00,0.00,3.00,3.00,3.0,59.5,31.0,45.0,98.41,70.96,70.96,70.96,70.96,79.91,79.91,79.91,79.91,70.53,70.53,70.53,70.53,100.00,100.00,100.00,100.00,79.33,79.33,79.33,79.33,41.89,41.89,41.89,41.89,54.88,54.88,54.88,54.88,88.66,88.66,88.66,88.66,70.76,70.76,70.76,70.76,C-,C-,C-,C-
"Sophia, Young",2361533.0,5315933.0,ysophia@university.edu,MATH 130 4,10.0,19.0,21.5,23.0,23.0,25.0,27.0,22.0,26.0,25.0,25.0,,22.0,14.0,15.0,7.0,21.0,8.0,15.0,15.0,12.0,16.0,9.0,13.0,13.0,20.0,8.0,8.00,10.00,11.00,5.5,9.0,10.0,9.0,10.0,13.0,11.0,5.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,69.0,69.0,79.5,114.0,98.71,98.71,98.71,98.71,100.61,100.61,100.61,100.61,93.01,93.01,93.01,93.01,100.00,100.00,100.00,100.00,92.00,92.00,92.00,92.00,93.24,93.24,93.24,93.24,96.95,96.95,96.95,96.95,102.70,102.70,102.70,102.70,97.04,97.04,97.04,97.04,A,A,A,A
"James, Baker",2361516.0,5315916.0,bjames@university.edu,MATH 130 4,10.0,19.0,22.0,12.0,18.0,21.0,26.5,21.0,17.0,21.0,25.0,,19.0,14.0,15.0,7.0,15.75,8.0,15.0,14.0,12.0,16.0,9.0,13.0,13.0,20.0,8.0,8.00,7.50,8.50,6.0,8.0,11.0,7.5,8.0,10.0,11.0,7.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.0,3.0,3.00,EX,3.00,3.00,3.0,64.5,43.5,71.0,87.5,85.11,85.11,85.11,85.11,100.00,100.00,100.00,100.00,82.11,82.11,82.11,82.11,100.00,100.00,100.00,100.00,86.00,86.00,86.00,86.00,58.78,58.78,58.78,58.78,86.59,86.59,86.59,86.59,78.83,78.83,78.83,78.83,82.77,82.77,82.77,82.77,B-,B-,B-,B-
"James, Adams",2361522.0,5315922.0,ajames@university.edu,MATH 130 4,10.0,19.0,19.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,25.0,,23.0,13.9,14.33,0.0,21.0,6.67,15.0,15.0,12.0,16.0,9.0,13.0,13.0,20.0,8.0,8.00,6.50,9.50,4.0,7.0,6.0,8.5,8.5,12.0,10.0,7.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,0.0,3.0,0.00,3.00,3.00,0.00,0.0,67.5,57.0,55.0,103.0,41.18,41.18,41.18,41.18,99.38,99.38,99.38,99.38,81.05,81.05,81.05,81.05,84.62,84.62,84.62,84.62,90.00,90.00,90.00,90.00,77.03,77.03,77.03,77.03,67.07,67.07,67.07,67.07,92.79,92.79,92.79,92.79,78.77,78.77,78.77,78.77,C+,C+,C+,C+
"Isabella, Thompson",2361529.0,5315929.0,tisabella2@university.edu,MATH 130 4,10.0,19.0,22.0,22.5,17.5,24.0,28.0,20.5,23.0,21.5,22.5,,24.0,14.0,15.0,5.21,19.0,0.0,15.0,14.0,12.0,16.0,9.0,13.0,13.0,20.0,8.0,,9.00,9.00,5.0,9.0,13.0,10.0,9.0,11.5,9.0,7.5,,3.00,3.00,3.00,0.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,66.0,66.0,77.5,98.0,93.57,93.57,93.57,93.57,97.86,97.86,97.86,97.86,88.33,88.33,87.00,87.00,100.00,100.00,100.00,100.00,88.00,88.00,88.00,88.00,89.19,89.19,89.19,89.19,94.51,94.51,94.51,94.51,88.29,88.29,88.29,88.29,91.74,91.74,91.62,91.62,A-,A-,A-,A-
"Isabella, Taylor",2361505.0,5315905.0,tisabella@university.edu,MATH 130 4,10.0,18.5,22.0,10.0,20.0,15.0,19.0,20.0,0.0,13.0,21.0,,15.0,14.0,14.82,0.0,18.33,4.17,0.75,0.0,12.0,6.0,9.0,9.75,13.0,20.0,8.0,6.00,5.00,0.00,5.0,6.0,11.0,4.0,10.0,0.0,0.0,6.0,3.00,3.00,0.00,3.00,3.0,3.0,3.0,0.0,0.0,3.0,3.00,3.00,3.00,0.00,3.0,53.0,38.0,50.5,84.0,67.46,67.46,67.46,67.46,75.92,75.92,75.92,75.92,57.61,57.61,57.61,57.61,84.62,84.62,84.62,84.62,70.67,70.67,70.67,70.67,51.35,51.35,51.35,51.35,61.59,61.59,61.59,61.59,75.68,75.68,75.68,75.68,66.95,66.95,66.95,66.95,D,D,D,D
"Benjamin, Jackson",2361520.0,5315920.0,jbenjamin@university.edu,MATH 130 4,10.0,18.0,20.0,17.0,22.0,22.5,21.0,22.0,18.0,6.0,0.0,,0.0,14.0,15.0,7.0,21.0,6.5,15.0,15.0,12.0,16.0,9.0,12.0,13.0,19.0,8.0,3.00,4.50,5.00,0.5,0.0,4.5,0.0,3.0,0.0,0.0,4.0,3.00,3.00,0.00,3.00,0.0,3.0,0.0,3.0,0.0,3.0,0.00,3.00,0.00,0.00,0.0,43.5,24.5,23.5,32.15,64.89,64.89,64.89,64.89,99.44,99.44,99.44,99.44,26.63,26.63,26.63,26.63,53.85,53.85,53.85,53.85,58.00,58.00,58.00,58.00,33.11,33.11,33.11,33.11,28.66,28.66,28.66,28.66,28.96,28.96,28.96,28.96,48.06,48.06,48.06,48.06,F,F,F,F
"Benjamin, Lewis",2361512.0,5315912.0,lbenjamin@university.edu,MATH 130 4,10.0,19.0,21.0,13.0,16.0,25.0,28.0,21.0,17.5,0.0,0.0,,25.0,14.0,15.0,7.0,21.0,8.0,15.0,14.0,12.0,16.0,9.0,0.0,0.0,20.0,8.0,8.00,0.00,0.00,0.0,9.0,10.5,0.0,0.0,6.5,0.0,0.0,,3.00,0.00,3.00,0.0,3.0,0.0,3.0,0.0,0.0,0.00,0.00,0.00,0.00,3.0,68.0,59.0,47.5,92.0,71.88,71.88,71.88,71.88,92.44,92.44,92.44,92.44,36.17,36.17,36.17,36.17,41.67,41.67,38.46,38.46,90.67,90.67,90.67,90.67,79.73,79.73,79.73,79.73,57.93,57.93,57.93,57.93,82.88,82.88,82.88,82.88,73.29,73.29,73.12,73.12,C,C,C,C
"Charlotte, Anderson",2361511.0,5315911.0,acharlotte@university.edu,MATH 130 4,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,14.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.00,4.00,8.50,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.00,3.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,3.0,0.00,0.00,0.00,0.00,0.0,55.0,0.0,0.0,0.0,10.66,10.66,10.66,10.66,17.58,17.58,17.58,17.58,36.11,36.11,36.11,36.11,23.08,23.08,23.08,23.08,73.33,73.33,73.33,73.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.90,18.90,18.90,18.90,F,F,F,F
"Elijah, Allen",2361509.0,5315909.0,aelijah2@university.edu,MATH 130 4,10.0,19.0,22.0,22.0,17.25,21.0,28.0,20.0,26.0,22.5,25.0,,25.0,14.0,15.0,7.0,16.5,6.75,13.0,12.0,12.0,14.0,9.0,13.0,13.0,20.0,8.0,4.00,10.00,10.00,7.5,7.5,13.0,8.5,7.5,10.0,9.0,7.0,3.00,3.00,3.00,3.00,0.0,3.0,3.0,3.0,3.0,3.0,0.00,0.00,3.00,3.00,0.0,77.0,57.0,63.0,88.5,94.76,94.76,94.76,94.76,95.58,95.58,95.58,95.58,85.05,85.05,85.05,85.05,84.62,84.62,84.62,84.62,102.67,102.67,102.67,102.67,77.03,77.03,77.03,77.03,76.83,76.83,76.83,76.83,79.73,79.73,79.73,79.73,86.91,86.91,86.91,86.91,B,B,B,B
"Elijah, Anderson",2361503.0,5315903.0,aelijah@university.edu,MATH 130 4,10.0,19.0,20.0,23.0,23.0,23.0,28.0,19.0,26.0,25.0,25.0,,25.0,14.0,15.0,7.0,19.5,8.0,15.0,14.25,12.0,16.0,9.0,13.0,13.0,20.0,8.0,8.00,9.50,10.00,7.0,0.0,10.5,9.0,11.0,11.5,11.0,7.0,3.00,0.00,3.00,3.00,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,70.5,71.0,80.5,93.49,97.79,97.79,97.79,97.79,100.15,100.15,100.15,100.15,91.15,91.15,91.15,91.15,100.00,100.00,100.00,100.00,94.00,94.00,94.00,94.00,95.95,95.95,95.95,95.95,98.17,98.17,98.17,98.17,84.23,84.23,84.23,84.23,94.63,94.63,94.63,94.63,A,A,A,A
"Elijah, Harris",2361519.0,5315919.0,helijah@university.edu,MATH 130 4,10.0,19.0,21.0,23.0,22.0,23.0,28.0,22.0,22.0,22.5,25.0,,25.0,14.0,15.0,6.94,18.9,6.5,0.0,14.25,8.0,0.0,9.0,0.0,13.0,0.0,8.0,8.00,10.00,9.00,8.0,10.0,11.0,6.0,10.0,13.0,11.0,4.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,0.00,3.00,3.0,78.0,68.5,55.0,108.35,96.51,96.51,96.51,96.51,68.84,68.84,68.84,68.84,94.74,94.74,94.74,94.74,100.00,100.00,100.00,100.00,104.00,104.00,104.00,104.00,92.57,92.57,92.57,92.57,67.07,67.07,67.07,67.07,97.61,97.61,97.61,97.61,89.50,89.50,89.50,89.50,B+,B+,B+,B+
"Elijah, Taylor",2361525.0,5315925.0,telijah@university.edu,MATH 130 4,7.5,14.25,19.0,0.0,0.0,22.0,22.0,0.0,26.0,25.0,25.0,,25.0,14.0,15.0,6.98,0.0,5.33,7.5,9.0,2.0,15.67,9.0,13.0,0.0,20.0,8.0,8.00,3.50,0.00,3.0,4.5,10.5,7.0,9.0,11.0,9.0,9.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,60.5,45.0,70.0,95.19,68.29,68.29,68.29,68.29,76.51,76.51,76.51,76.51,74.74,74.74,74.74,74.74,100.00,100.00,100.00,100.00,80.67,80.67,80.67,80.67,60.81,60.81,60.81,60.81,85.37,85.37,85.37,85.37,85.76,85.76,85.76,85.76,77.53,77.53,77.53,77.53,C+,C+,C+,C+
"Emma, Hall",2361534.0,5315934.0,hemma@university.edu,MATH 130 4,10.0,17.0,22.0,23.0,8.0,24.0,0.0,19.0,12.5,0.0,0.0,,0.0,14.0,15.0,7.0,17.5,3.25,10.33,12.0,12.0,16.0,9.0,13.0,13.0,20.0,8.0,8.00,7.50,9.00,8.0,7.5,12.0,7.5,5.5,7.5,0.0,4.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.0,3.0,3.00,0.00,3.00,0.00,3.0,75.5,57.5,51.5,83.2,49.82,49.82,49.82,49.82,94.25,94.25,94.25,94.25,76.32,76.32,76.32,76.32,100.00,100.00,100.00,100.00,100.67,100.67,100.67,100.67,77.70,77.70,77.70,77.70,62.80,62.80,62.80,62.80,74.95,74.95,74.95,74.95,77.82,77.82,77.82,77.82,C+,C+,C+,C+
