Student,ID,SIS User ID,SIS Login ID,Section,Written Assignment 0 (158526),Written Assignment 1 (158527),Written Assignment 2 (158532),Written Assignment 3 (158533),Written Assignment 5 (158534),Written Assignment 6 (158535),Written Assignment 7 (158536),Written Assignment 9 (158537),Written Assignment 10 (158528),Written Assignment 12 (158529),Written Assignment 13 (158530),Written Assignment 14 (158531),Webwork 1 (158512),Webwork 2 (158518),Webwork 3 (158519),Webwork 4 (158520),Webwork 5 (158521),Webwork 6 (158522),Webwork 7 (158523),Webwork 8 (158524),Webwork 9 (158525),Webwork 10 (158513),Webwork 11 (158514),Webwork 12 (158515),Webwork 13 (158516),Webwork 14 (158517),Quiz 1 (158501),Quiz 2 (158504),Quiz 3 (158505),Quiz 4 (158506),Quiz 5 (158507),Quiz 6 (158508),Quiz 7 (158509),Quiz 8 (158510),Quiz 9 (158511),Quiz 10 (158502),Exit Slip 0 (158471),Exit Slip 1 (158472),Exit Slip 2 (158482),Exit Slip 3 (158492),Exit Slip 4 (158493),Exit Slip 5 (158494),Exit Slip 6 (158495),Exit Slip 7 (158496),Exit Slip 8 (158497),Exit Slip 9 (158498),Exit Slip 10 (158473),Exit Slip 11 (158474),Exit Slip12 (158499),Exit Slip 13 (158475),Exit Slip 14 (158476),Exit Slip 15 (158477),Exit Slip 16 (158478),Exit Slip 17 (158479),Exit Slip 18 (158480),Exit Slip 19 (158481),Exit Slip 20 (158483),Exit Slip 21 (158484),Exit Slip 23 (158485),Exit Slip 24 (158486),Exit Slip 25 (158487),Exit Slip 26 (158488),Exit Slip 27 (158489),Exit Slip 28 (158490),Exit Slip 29 (158491),Exam 1 (158465),Exam 2 (158467),Exam 3 (158469),Final Exam (158500),Written Assingments Current Score,Written Assingments Unposted Current Score,Written Assingments Final Score,Written Assingments Unposted Final Score,Webwork Current Score,Webwork Unposted Current Score,Webwork Final Score,Webwork Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exit Slips Current Score,Exit Slips Unposted Current Score,Exit Slips Final Score,Exit Slips Unposted Final Score,Exam 1 Current Score,Exam 1 Unposted Current Score,Exam 1 Final Score,Exam 1 Unposted Final Score,Exam 2 Current Score,Exam 2 Unposted Current Score,Exam 2 Final Score,Exam 2 Unposted Final Score,Exam 3 Current Score,Exam 3 Unposted Current Score,Exam 3 Final Score,Exam 3 Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
"Thomas, Mary",1531504.0,8315904.0,mthomas@university.edu,MATH 140 1,5.0,20.0,21.0,0.0,0.0,26.0,24.5,16.0,23.0,23.0,0.0,23.0,26.0,12.75,17.0,19.0,17.0,17.25,15.9,19.0,6.0,19.0,24.4,15.0,0.0,25.0,8.0,7.0,6.5,5.00,6.0,13.0,9.0,5.0,1.5,10.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,0.0,3.00,3.0,3.0,3.0,3.00,3.0,3.00,3.00,3.0,45.5,39.5,47.5,62.48,64.13,64.13,64.13,64.13,90.43,90.43,90.43,90.43,80.41,80.41,80.41,80.41,100.00,100.00,100.00,100.00,71.09,71.09,71.09,71.09,45.40,45.40,45.40,45.40,64.19,64.19,64.19,64.19,56.80,56.80,56.80,56.80,67.25,67.25,67.25,67.25,D,D,D,D
"Taylor, William",1531518.0,8315918.0,wtaylor@university.edu,MATH 140 1,5.0,7.0,8.0,0.0,25.0,26.0,17.0,17.0,22.5,19.5,14.0,0.0,25.5,12.75,0.0,0.0,14.75,23.0,19.0,23.0,6.0,21.0,0.0,19.0,21.0,25.0,9.0,8.0,6.5,8.00,6.0,0.0,8.5,5.0,13.0,19.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.00,3.0,3.0,3.0,3.00,3.0,3.00,3.00,3.0,52.0,65.0,60.5,99.5,56.89,56.89,56.89,56.89,82.68,82.68,82.68,82.68,95.63,95.63,95.63,95.63,100.00,100.00,100.00,100.00,81.25,81.25,81.25,81.25,74.71,74.71,74.71,74.71,81.76,81.76,81.76,81.76,90.45,90.45,90.45,90.45,80.93,80.93,80.93,80.93,B-,B-,B-,B-
"Taylor, Robert",1531520.0,8315920.0,rtaylor@university.edu,MATH 140 1,5.0,14.0,20.0,9.5,14.5,26.0,14.5,18.5,25.0,17.0,29.0,21.0,26.0,17.0,15.0,19.0,17.0,23.0,19.0,22.0,6.0,21.0,25.0,18.4,21.0,25.0,10.0,7.0,6.0,3.00,5.0,10.0,2.0,5.0,13.0,10.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.00,3.0,3.0,3.0,EX,0.0,0.00,3.00,3.0,47.5,59.5,51.5,89.0,75.62,75.62,75.62,75.62,99.01,99.01,99.01,99.01,78.24,78.24,78.24,78.24,100.00,100.00,100.00,100.00,74.22,74.22,74.22,74.22,68.39,68.39,68.39,68.39,69.59,69.59,69.59,69.59,80.91,80.91,80.91,80.91,78.09,78.09,78.09,78.09,C+,C+,C+,C+
"Taylor, Mary",1531514.0,8315914.0,mtaylor@university.edu,MATH 140 1,5.0,20.0,21.0,20.5,22.5,29.0,21.0,22.5,23.5,19.0,25.0,18.0,24.0,17.0,17.0,20.0,17.0,23.0,19.0,23.0,6.0,21.0,25.0,19.0,21.0,25.0,7.0,7.5,7.5,3.00,4.0,12.5,0.0,0.0,2.5,19.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,0.00,3.00,3.0,3.0,3.0,3.0,3.00,3.0,3.0,3.0,0.00,3.0,3.00,3.00,3.0,38.0,53.0,43.0,61.0,87.28,87.28,87.28,87.28,100.00,100.00,100.00,100.00,75.63,75.63,75.63,75.63,100.00,100.00,100.00,100.00,59.38,59.38,59.38,59.38,60.92,60.92,60.92,60.92,58.11,58.11,58.11,58.11,55.45,55.45,55.45,55.45,70.41,70.41,70.41,70.41,C-,C-,C-,C-
"Taylor, Linda",1531513.0,8315913.0,ltaylor@university.edu,MATH 140 1,5.0,18.0,20.5,23.0,26.0,28.0,26.0,24.0,26.0,24.0,28.5,25.5,26.0,17.0,17.0,20.0,17.0,23.0,19.0,23.0,6.0,21.0,20.0,19.0,21.0,25.0,5.0,9.0,6.5,5.00,7.0,13.0,10.0,5.0,12.0,17.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.00,3.0,0.0,0.0,0.00,3.0,3.00,3.00,3.0,45.5,67.5,55.0,83.5,97.00,97.00,97.00,97.00,100.00,100.00,100.00,100.00,95.24,95.24,95.24,95.24,100.00,100.00,100.00,100.00,71.09,71.09,71.09,71.09,77.59,77.59,77.59,77.59,74.32,74.32,74.32,74.32,75.91,75.91,75.91,75.91,83.70,83.70,83.70,83.70,B,B,B,B
"Taylor, James",1531516.0,8315916.0,jtaylor2@university.edu,MATH 140 1,5.0,20.0,21.0,19.0,21.0,26.5,18.0,22.0,24.0,19.5,29.0,26.5,26.0,17.0,17.0,19.5,17.0,23.0,17.25,22.0,5.75,17.0,25.0,19.0,21.0,23.38,4.5,5.0,9.0,4.50,6.5,6.0,3.0,5.0,0.5,15.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,0.0,3.0,3.0,3.00,3.0,3.0,3.0,3.00,3.0,3.00,3.00,3.0,23.5,50.5,46.5,69.0,88.87,88.87,88.87,88.87,98.02,98.02,98.02,98.02,70.00,70.00,70.00,70.00,100.00,100.00,100.00,100.00,36.72,36.72,36.72,36.72,58.05,58.05,58.05,58.05,62.84,62.84,62.84,62.84,62.73,62.73,62.73,62.73,67.92,67.92,67.92,67.92,D,D,D,D
"Taylor, James",1531510.0,8315910.0,jtaylor@university.edu,MATH 140 1,5.0,19.0,21.0,19.0,20.0,27.0,17.0,15.0,23.0,21.0,25.0,22.5,25.0,17.0,12.0,20.0,17.0,22.0,19.0,23.0,6.0,17.0,25.0,18.25,21.0,25.0,5.0,9.0,8.0,8.00,6.0,5.5,10.0,5.0,11.5,11.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.00,3.00,0.00,EX,3.0,3.0,3.0,3.0,3.00,0.0,3.0,3.0,EX,3.0,3.00,EX,3.0,44.0,57.0,57.0,83.0,82.86,82.86,82.86,82.86,97.42,97.42,97.42,97.42,88.46,88.46,88.46,88.46,100.00,100.00,100.00,100.00,68.75,68.75,68.75,68.75,65.52,65.52,65.52,65.52,77.03,77.03,77.03,77.03,75.45,75.45,75.45,75.45,78.96,78.96,78.96,78.96,C+,C+,C+,C+
"Scott, Robert",1531517.0,8315917.0,rscott@university.edu,MATH 140 1,0.0,17.0,19.0,18.0,0.0,25.0,20.0,13.0,19.0,15.5,24.0,25.5,20.5,12.75,16.75,16.0,10.25,21.0,17.5,20.0,5.5,17.0,21.4,13.75,19.5,25.0,8.5,8.0,6.5,6.00,7.0,14.0,7.5,5.0,12.0,19.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,3.0,3.0,3.0,3.00,3.0,3.0,3.0,0.00,3.0,3.00,3.00,3.0,54.0,71.5,56.5,86.25,69.26,69.26,69.26,69.26,86.51,86.51,86.51,86.51,94.64,94.64,94.64,94.64,100.00,100.00,100.00,100.00,84.38,84.38,84.38,84.38,82.18,82.18,82.18,82.18,76.35,76.35,76.35,76.35,78.41,78.41,78.41,78.41,81.79,81.79,81.79,81.79,B-,B-,B-,B-
"Scott, Elizabeth",1531515.0,8315915.0,escott@university.edu,MATH 140 1,5.0,20.0,21.0,24.0,26.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,26.0,17.0,12.75,20.0,17.0,20.0,16.06,22.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,9.0,4.00,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.00,3.00,3.00,3.00,0.0,3.0,3.0,0.0,3.00,0.0,0.0,3.0,0.00,0.0,0.00,0.00,0.0,61.0,86.0,34.5,0.0,43.99,43.99,43.99,43.99,59.37,59.37,59.37,59.37,54.79,54.79,54.79,54.79,73.08,73.08,73.08,73.08,95.31,95.31,95.31,95.31,98.85,98.85,98.85,98.85,46.62,46.62,46.62,46.62,0.00,0.00,0.00,0.00,57.35,57.35,57.35,57.35,F,F,F,F
"Moore, James",1531526.0,8315926.0,jmoore@university.edu,MATH 140 1,5.0,20.0,21.0,23.0,26.0,29.0,25.0,19.0,20.5,23.0,26.5,27.0,26.0,17.0,17.0,20.0,17.0,23.0,19.0,23.0,6.0,21.0,25.0,19.0,21.0,25.0,11.0,9.0,9.0,8.00,7.0,14.0,9.0,5.0,11.5,19.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.00,3.00,3.00,3.00,3.0,0.0,3.0,3.0,3.00,3.0,3.0,0.0,3.00,0.0,0.00,3.00,3.0,65.0,81.5,71.0,104.0,93.64,93.64,93.64,93.64,100.00,100.00,100.00,100.00,102.50,102.50,102.50,102.50,92.31,92.31,92.31,92.31,101.56,101.56,101.56,101.56,93.68,93.68,93.68,93.68,95.95,95.95,95.95,95.95,94.55,94.55,94.55,94.55,96.78,96.78,96.78,96.78,A,A,A,A
"Lewis, Mary",1531507.0,8315907.0,mlewis@university.edu,MATH 140 1,5.0,20.0,21.0,18.0,24.0,26.0,23.0,23.0,25.0,15.5,28.5,20.25,25.0,17.0,12.75,18.0,17.0,23.0,19.0,22.0,6.0,21.0,25.0,19.0,21.0,18.75,0.0,0.0,0.0,7.00,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,3.00,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.00,0.00,0.0,38.0,81.0,70.5,78.25,88.07,88.07,88.07,88.07,96.75,96.75,96.75,96.75,19.18,19.18,19.18,19.18,7.69,7.69,7.69,7.69,59.38,59.38,59.38,59.38,93.10,93.10,93.10,93.10,95.27,95.27,95.27,95.27,71.14,71.14,71.14,71.14,72.85,72.85,72.85,72.85,C-,C-,C-,C-
"Jackson, Linda",1531527.0,8315927.0,ljackson@university.edu,MATH 140 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,F,F,F,F
"Harris, Linda",1531505.0,8315905.0,lharris@university.edu,MATH 140 1,5.0,15.0,18.5,17.5,11.5,0.0,18.0,15.5,22.0,12.5,0.0,0.0,15.3,0.0,14.0,15.0,17.0,21.67,12.35,23.0,5.75,15.0,0.0,13.0,13.0,0.0,4.5,4.0,6.5,EX,4.5,11.0,3.5,5.0,8.5,0.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.00,EX,EX,EX,3.0,3.0,3.0,0.0,3.00,3.0,3.0,0.0,3.00,0.0,EX,0.00,0.0,22.5,36.0,21.0,0.0,47.88,47.88,47.88,47.88,64.99,64.99,64.99,64.99,63.77,63.77,63.77,63.77,81.82,81.82,81.82,81.82,35.16,35.16,35.16,35.16,41.38,41.38,41.38,41.38,28.38,28.38,28.38,28.38,0.00,0.00,0.00,0.00,39.41,39.41,39.41,39.41,F,F,F,F
"Hall, Mary",1531509.0,8315909.0,mhall@university.edu,MATH 140 1,5.0,20.0,21.0,0.0,0.0,22.0,26.5,23.0,22.0,18.5,0.0,0.0,26.0,12.75,0.0,20.0,17.0,23.0,19.0,23.0,6.0,21.0,25.0,19.0,21.0,24.0,11.0,0.0,9.0,6.00,7.0,0.0,10.0,5.0,11.5,19.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.00,3.00,3.00,3.00,3.0,0.0,3.0,3.0,3.00,3.0,3.0,3.0,3.00,3.0,3.00,0.00,0.0,61.0,67.0,73.5,106.7,55.83,55.83,55.83,55.83,98.00,98.00,98.00,98.00,99.37,99.37,99.37,99.37,92.31,92.31,92.31,92.31,95.31,95.31,95.31,95.31,77.01,77.01,77.01,77.01,99.32,99.32,99.32,99.32,97.00,97.00,97.00,97.00,88.44,88.44,88.44,88.44,B+,B+,B+,B+
